contrato,dedicacion,remainder__salario,remainder__anos_de_experiencia,remainder__antiguedad_en_la_empresa_actual,remainder__anos_en_el_puesto_actual,remainder__cuantas_personas_tenes_a_cargo,remainder__edad,remainder__marvin_rol,remainder__cantidad_personas_encoded,remainder__modalidad_encoded,remainder__seniority_encoded
1.0,1.0,3952805.0,3.0,3.0,1.0,2.0,29.0,5.0,5.0,2.0,1.0
1.0,0.0,1606000.0,5.0,2.0,2.0,0.0,25.0,4.0,7.0,2.0,1.0
1.0,1.0,4000000.0,25.0,3.0,3.0,5.0,50.0,3.0,1.0,2.0,2.0
0.0,1.0,3000000.0,18.0,8.0,6.0,0.0,41.0,3.0,1.0,2.0,2.0
1.0,1.0,3953142.06,15.0,5.0,4.0,3.0,47.0,2.0,5.0,2.0,2.0
1.0,1.0,3100000.0,12.0,0.0,0.0,0.0,40.0,5.0,10.0,2.0,2.0
0.0,1.0,1800000.0,15.0,5.0,5.0,0.0,53.0,4.0,3.0,1.0,2.0
1.0,1.0,3300000.0,18.0,9.0,10.0,2.0,37.0,3.0,1.0,0.0,2.0
0.0,1.0,2303066.0,10.0,1.0,1.0,2.0,35.0,2.0,8.0,1.0,2.0
0.0,1.0,6226000.0,21.0,1.0,1.0,0.0,51.0,5.0,10.0,2.0,2.0
1.0,1.0,1772350.0,1.0,1.0,1.0,0.0,28.0,4.0,10.0,2.0,0.0
1.0,1.0,3000000.0,19.0,1.0,1.0,0.0,43.0,3.0,3.0,2.0,2.0
0.0,1.0,3500000.0,10.0,4.0,2.0,4.0,36.0,4.0,2.0,2.0,3.0
1.0,1.0,3354178.0,5.0,2.0,5.0,0.0,27.0,3.0,7.0,1.0,1.0
0.0,1.0,921050.0,1.0,1.0,1.0,0.0,23.0,4.0,2.0,1.0,0.0
1.0,0.0,1084000.0,2.0,2.0,2.0,0.0,26.0,4.0,3.0,1.0,0.0
0.0,1.0,900000.0,4.0,4.0,1.0,1.0,28.0,4.0,1.0,1.0,3.0
1.0,1.0,2200000.0,4.0,4.0,4.0,0.0,26.0,4.0,5.0,1.0,1.0
0.0,1.0,3850000.0,7.0,1.0,3.0,2.0,34.0,3.0,4.0,2.0,2.0
0.0,1.0,3400000.0,6.0,2.0,2.0,0.0,30.0,3.0,2.0,2.0,2.0
1.0,1.0,2371600.0,8.0,2.0,2.0,4.0,29.0,5.0,3.0,1.0,2.0
1.0,1.0,2200000.0,5.0,3.0,3.0,0.0,25.0,3.0,5.0,2.0,1.0
0.0,1.0,1600000.0,11.0,0.0,0.0,0.0,38.0,5.0,1.0,2.0,2.0
0.0,1.0,2400000.0,3.0,3.0,3.0,0.0,29.0,3.0,4.0,1.0,1.0
1.0,1.0,1400000.0,5.0,4.0,2.0,0.0,37.0,6.0,10.0,2.0,1.0
1.0,1.0,1800000.0,2.0,4.0,2.0,0.0,36.0,2.0,3.0,2.0,0.0
1.0,1.0,1138082.0,0.0,0.0,0.0,0.0,23.0,3.0,8.0,2.0,0.0
0.0,1.0,3800000.0,9.0,3.0,6.0,0.0,29.0,3.0,2.0,2.0,2.0
0.0,1.0,1400000.0,5.0,2.0,5.0,1.0,22.0,3.0,1.0,2.0,1.0
1.0,1.0,1974287.0,1.0,0.0,0.0,0.0,34.0,5.0,7.0,1.0,0.0
0.0,1.0,2600000.0,6.0,3.0,3.0,2.0,27.0,3.0,4.0,2.0,2.0
1.0,1.0,2700000.0,3.0,1.0,3.0,0.0,26.0,2.0,5.0,2.0,1.0
