ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Córdoba,Full-Time,Staff (planta permanente),3952805.0,Data Engineer,3,3,1,2,SQL,De 201 a 500 personas,100% remoto,29,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1606000.0,Developer,5,2,2,0,"Bash/Shell, CSS, HTML, Javascript, PHP, Python",De 1001 a 2000 personas,100% remoto,25,Hombre Cis,Semi-Senior,4
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1325301.0,SysAdmin / DevOps / SRE,6,4,2,0,"Bash/Shell, Python",De 101 a 200 personas,100% remoto,22,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2670205.0,Technical Support,28,2,2,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),48,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Consultant,25,3,3,5,".NET, Python, SQL",De 2 a 10 personas,100% remoto,50,Hombre Cis,Senior,3
Córdoba,Full-Time,Staff (planta permanente),4200000.0,Manager / Director,15,1,0,12,"C++, Python",De 101 a 200 personas,100% remoto,43,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Freelance,3000000.0,Architect,18,8,6,0,"HTML, PHP",De 2 a 10 personas,100% remoto,41,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),3953142.06,Data Engineer,15,5,4,3,"Bash/Shell, Python, SQL",De 201 a 500 personas,100% remoto,47,Hombre Cis,Senior,2
Santa Fe,Full-Time,Staff (planta permanente),3100000.0,BI Analyst / Data Analyst,12,0,0,0,"ABAP, Python, SQL",Más de 10000 personas,100% remoto,40,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1212500.0,Designer,10,10,3,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),28,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3318356.0,Manager / Director,16,7,2,2,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),34,Hombre Cis,Senior,9
Córdoba,Full-Time,Contractor,1800000.0,Developer,15,5,5,0,".NET, Bash/Shell, C#, Javascript, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),53,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,Architect,18,9,10,2,".NET, C#, CSS, Javascript, SQL, TypeScript",De 2 a 10 personas,100% presencial,37,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2303066.0,Developer,10,1,1,2,"CSS, Java, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),35,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1392320.53,SysAdmin / DevOps / SRE,2,0,2,0,Bash/Shell,Más de 10000 personas,100% remoto,28,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6226000.0,SysAdmin / DevOps / SRE,21,1,1,0,Python,Más de 10000 personas,100% remoto,51,Hombre Cis,Senior,5
Buenos Aires,Full-Time,Staff (planta permanente),1772350.0,Developer,1,1,1,0,"HTML, Javascript, Python, TypeScript",Más de 10000 personas,100% remoto,28,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,Developer,19,1,1,0,".NET, C#, HTML, Javascript, SQL",De 51 a 100 personas,100% remoto,43,Hombre Cis,Senior,3
Santa Fe,Full-Time,Staff (planta permanente),2000000.0,SysAdmin / DevOps / SRE,20,16,16,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),39,Hombre Cis,Senior,9
Santa Fe,Full-Time,Contractor,3500000.0,Technical Leader,10,4,2,4,"Javascript, PHP, Python, SQL, TypeScript",De 11  a 50  personas,100% remoto,36,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3354178.0,BI Analyst / Data Analyst,5,2,5,0,"Go, Java, Python, SQL",De 1001 a 2000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,921050.0,SysAdmin / DevOps / SRE,1,1,1,0,"Bash/Shell, HTML, Javascript, Perl, PHP, SQL",De 11  a 50  personas,Híbrido (presencial y remoto),23,Hombre Cis,Junior,4
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1084000.0,Developer,2,2,2,0,"CSS, HTML, Javascript, Ruby, SQL, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),26,No binarie,Junior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,885700.0,UX Designer,4,2,2,0,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,25,Mujer Cis,Semi-Senior,9
Córdoba,Full-Time,Contractor,900000.0,Technical Leader,4,4,1,1,"Java, Javascript, Python, SQL, TypeScript",De 2 a 10 personas,Híbrido (presencial y remoto),28,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,4,4,4,0,"CSS, Go, HTML, Java, Javascript, SQL, TypeScript",De 201 a 500 personas,Híbrido (presencial y remoto),26,Hombre Cis,Semi-Senior,4
Buenos Aires,Full-Time,Contractor,3850000.0,BI Analyst / Data Analyst,7,1,3,2,"Java, SQL",De 101 a 200 personas,100% remoto,34,Mujer Cis,Senior,3
Córdoba,Full-Time,Contractor,6000000.0,Developer,10,1,5,0,Dart,De 11  a 50  personas,100% remoto,40,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Contractor,3400000.0,Developer,6,2,2,0,".NET, C#, CSS, HTML, Javascript, SQL",De 11  a 50  personas,100% remoto,30,Hombre Cis,Senior,3
