dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Staff (planta permanente),3952805.0,3,3,1,2,De 201 a 500 personas,100% remoto,29,Semi-Senior,5
Part-Time,Staff (planta permanente),1606000.0,5,2,2,0,De 1001 a 2000 personas,100% remoto,25,Semi-Senior,4
Full-Time,Staff (planta permanente),4000000.0,25,3,3,5,De 2 a 10 personas,100% remoto,50,Senior,3
Full-Time,Freelance,3000000.0,18,8,6,0,De 2 a 10 personas,100% remoto,41,Senior,3
Full-Time,Staff (planta permanente),3953142.06,15,5,4,3,De 201 a 500 personas,100% remoto,47,Senior,2
Full-Time,Staff (planta permanente),3100000.0,12,0,0,0,Más de 10000 personas,100% remoto,40,Senior,5
Full-Time,Contractor,1800000.0,15,5,5,0,De 51 a 100 personas,Híbrido (presencial y remoto),53,Senior,4
Full-Time,Staff (planta permanente),3300000.0,18,9,10,2,De 2 a 10 personas,100% presencial,37,Senior,3
Full-Time,Contractor,2303066.0,10,1,1,2,De 2001a 5000 personas,Híbrido (presencial y remoto),35,Senior,2
Full-Time,Contractor,6226000.0,21,1,1,0,Más de 10000 personas,100% remoto,51,Senior,5
Full-Time,Staff (planta permanente),1772350.0,1,1,1,0,Más de 10000 personas,100% remoto,28,Junior,4
Full-Time,Staff (planta permanente),3000000.0,19,1,1,0,De 51 a 100 personas,100% remoto,43,Senior,3
Full-Time,Contractor,3500000.0,10,4,2,4,De 11  a 50  personas,100% remoto,36,Manager or Above,4
Full-Time,Staff (planta permanente),3354178.0,5,2,5,0,De 1001 a 2000 personas,Híbrido (presencial y remoto),27,Semi-Senior,3
Full-Time,Contractor,921050.0,1,1,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),23,Junior,4
Part-Time,Staff (planta permanente),1084000.0,2,2,2,0,De 51 a 100 personas,Híbrido (presencial y remoto),26,Junior,4
Full-Time,Contractor,900000.0,4,4,1,1,De 2 a 10 personas,Híbrido (presencial y remoto),28,Manager or Above,4
Full-Time,Staff (planta permanente),2200000.0,4,4,4,0,De 201 a 500 personas,Híbrido (presencial y remoto),26,Semi-Senior,4
Full-Time,Contractor,3850000.0,7,1,3,2,De 101 a 200 personas,100% remoto,34,Senior,3
Full-Time,Contractor,3400000.0,6,2,2,0,De 11  a 50  personas,100% remoto,30,Senior,3
Full-Time,Staff (planta permanente),2371600.0,8,2,2,4,De 51 a 100 personas,Híbrido (presencial y remoto),29,Senior,5
Full-Time,Staff (planta permanente),2200000.0,5,3,3,0,De 201 a 500 personas,100% remoto,25,Semi-Senior,3
Full-Time,Contractor,1600000.0,11,0,0,0,De 2 a 10 personas,100% remoto,38,Senior,5
